Title,Short Answer,Full Answer,URL
My Approvals,"OVERVIEW
ONBOARDING
EMPLOYEES
CUSTOMERS
ENTITIES
LISTS
FORMS
WORK PROCESSES
TERRITORIES
DAY PLANS
ROUTE PLANS
KNOWLEDGE BASE
SETTINGS
DASHBOARD
REPORTS STUDIO
APPROVALS
INTEGRATOR
ANALYTICS CONNECTOR
WEB LITE
EFF...","OVERVIEW
ONBOARDING
EMPLOYEES
CUSTOMERS
ENTITIES
LISTS
FORMS
WORK PROCESSES
TERRITORIES
DAY PLANS
ROUTE PLANS
KNOWLEDGE BASE
SETTINGS
DASHBOARD
REPORTS STUDIO
APPROVALS
INTEGRATOR
ANALYTICS CONNECTOR
WEB LITE
EFFORT NXT GIG USER APP
EFFORT NXT HOTEL APP
TARGET VS ACHIEVEMENTS
HomeApprovalsConceptsMy Approvals
Approvals
Concepts
My Approvals
Leaves
How-Tos
References
My Approvals
My Approvals module shows all the form submissions done by your reporting employees. From this window, you can review, export, edit, approve, or reject a form submission. You can also reinitiate the form submissions that are automatically rejected by the system.
Related Topics
Approve Form Submission in Web App
Reject Form Submission in Web App
Approve a Form Submission in Mobile App
Reject a Form Submission in Mobile App
Export Form Submissions
Reset System Rejected Approval Flows
Privacy Policy Terms of Use

Copyright © 2025 Spoors Technology Solutions India Pvt.Ltd. All Rights Reserved.",https://geteffort.com/manual/Approvals/Concepts/myapprovals.html
Overview,"OVERVIEW
ONBOARDING
EMPLOYEES
CUSTOMERS
ENTITIES
LISTS
FORMS
WORK PROCESSES
TERRITORIES
DAY PLANS
ROUTE PLANS
KNOWLEDGE BASE
SETTINGS
DASHBOARD
REPORTS STUDIO
APPROVALS
INTEGRATOR
ANALYTICS CONNECTOR
WEB LITE
EFF...","OVERVIEW
ONBOARDING
EMPLOYEES
CUSTOMERS
ENTITIES
LISTS
FORMS
WORK PROCESSES
TERRITORIES
DAY PLANS
ROUTE PLANS
KNOWLEDGE BASE
SETTINGS
DASHBOARD
REPORTS STUDIO
APPROVALS
INTEGRATOR
ANALYTICS CONNECTOR
WEB LITE
EFFORT NXT GIG USER APP
EFFORT NXT HOTEL APP
TARGET VS ACHIEVEMENTS
HomeEffort NXT Gig User AppOverview
Effort NXT Gig User App
Overview
Web App
Mobile App
Overview
The Effort Gig User Mobile App is designed to enable gig users in your organization to efficiently perform field-level activities. Gig users can install the Effort NXT App from the Google Play Store and access it using their organization-provided credentials.
Within this app, gig users can perform:
Sign In and Sign Out
Sign In: Log in using their email ID and password to begin their workday.
Sign Out: Log out after completing their activities to record the end of their workday.
Work Invitation Management
Accept Work Invitations: Accept work invitations as per their availability.
Reject Work Invitations: Decline work invitations they are unable to take.
Task Execution
Complete Accepted or Assigned Work: Perform and complete tasks that have been accepted or assigned to them.
Getting Started
To begin using the Effort NXT Gig User Mobile App, follow the instructions provided in the topics below. These topics will help you understand how to install, log in, and use the app effectively for your field-level activities:
Web App
Send Work Invitations to Gig Users
Assign Works to Gig Users
Mobile App
Install the Effort NXT Mobile App
Log in to the Mobile App
Sign In and Sign Out
Accept Work Invitations
Reject Work Invitations
Complete Assigned or Accepted Work
Privacy Policy Terms of Use

Copyright © 2025 Spoors Technology Solutions India Pvt.Ltd. All Rights Reserved.",https://geteffort.com/manual/gig-user-app/how-tos/overview-gig-app.html
Day Plans,"OVERVIEW
ONBOARDING
EMPLOYEES
CUSTOMERS
ENTITIES
LISTS
FORMS
WORK PROCESSES
TERRITORIES
DAY PLANS
ROUTE PLANS
KNOWLEDGE BASE
SETTINGS
DASHBOARD
REPORTS STUDIO
APPROVALS
INTEGRATOR
ANALYTICS CONNECTOR
WEB LITE
EFF...","OVERVIEW
ONBOARDING
EMPLOYEES
CUSTOMERS
ENTITIES
LISTS
FORMS
WORK PROCESSES
TERRITORIES
DAY PLANS
ROUTE PLANS
KNOWLEDGE BASE
SETTINGS
DASHBOARD
REPORTS STUDIO
APPROVALS
INTEGRATOR
ANALYTICS CONNECTOR
WEB LITE
EFFORT NXT GIG USER APP
EFFORT NXT HOTEL APP
TARGET VS ACHIEVEMENTS
HomeDay PlansConceptsDay Plans
Day Plans
Concepts
Day Plans
How-Tos - Mobile App
How-Tos - Web App
How-Tos - App Builder
Reference
Day Plans
Day Plans module lets you plan meetings with your customers, track your progress, capture the activities, and complete your days well. A Day Plan is a list of customers you would like to meet on a specific day. You can create several day plans in advance, and modify them as required. You can collaborate with your managers and subordinates to put together these plans.
Day Plans module provides a simpler calendar-based navigation, and helps you to:
Plan your days for improved visibility and productivity
Proactively meet customers for improved customer satisfaction.
Ensure that meetings happen (studies show that scheduled meetings tend to take place more than the ad-hoc meetings)
Optimize the order in which you would like to meet the customers, to reduce resource wastage (such as time, fuel, energy, and money)
Achieve better customer coverage
Privacy Policy Terms of Use

Copyright © 2025 Spoors Technology Solutions India Pvt.Ltd. All Rights Reserved.",https://geteffort.com/manual/DayPlans/Concepts/DayPlans.html
Effort NXT Hotel App,"OVERVIEW
ONBOARDING
EMPLOYEES
CUSTOMERS
ENTITIES
LISTS
FORMS
WORK PROCESSES
TERRITORIES
DAY PLANS
ROUTE PLANS
KNOWLEDGE BASE
SETTINGS
DASHBOARD
REPORTS STUDIO
APPROVALS
INTEGRATOR
ANALYTICS CONNECTOR
WEB LITE
EFF...","OVERVIEW
ONBOARDING
EMPLOYEES
CUSTOMERS
ENTITIES
LISTS
FORMS
WORK PROCESSES
TERRITORIES
DAY PLANS
ROUTE PLANS
KNOWLEDGE BASE
SETTINGS
DASHBOARD
REPORTS STUDIO
APPROVALS
INTEGRATOR
ANALYTICS CONNECTOR
WEB LITE
EFFORT NXT GIG USER APP
EFFORT NXT HOTEL APP
TARGET VS ACHIEVEMENTS
HomeEffort NXT Hotel AppEffort NXT Hotel App
Effort NXT Hotel App
Effort NXT Hotel App
Getting Started with Mobile App
House Keeping Services
Service Requests
Effort NXT Hotel App
The Effort Hotel App is an all-in-one solution for managing hotel room activities efficiently. It streamlines room cleaning and service request management while providing real-time operational insights. This app is designed for hotel staff and supervisors to ensure seamless coordination and enhanced service quality by leveraging advanced features and a user-friendly interface.
Key Features and Functionalities
Room Management
Provides a centralized platform to manage hotel room activities.
Displays real-time data on:
Total Number of Rooms in the hotel.
Number of Serviced Rooms (cleaned and ready for occupancy).
Number of Non-Serviced Rooms (pending cleaning or maintenance).
Number of Rooms Under Service
Enables supervisors to allocate rooms to service staff for cleaning based on availability.
Service Request Management
Guests can raise service requests easily through two methods:
QR Code Scanning: Guests scan a QR code in their room to submit a request.
Email Submission: Guests send an email describing the issue to trigger a service request.
The app automatically assigns service requests to available service staff who are currently signed in.
Assignment and Monitoring
Supervisors can assign rooms or service requests to specific service staff from the web app.
Staff can update room cleaning status or service completion in real time.
Privacy Policy Terms of Use

Copyright © 2025 Spoors Technology Solutions India Pvt.Ltd. All Rights Reserved.",https://geteffort.com/manual/hotel-app/how-tos/effort-hotel-app.html
Overview,"OVERVIEW
ONBOARDING
EMPLOYEES
CUSTOMERS
ENTITIES
LISTS
FORMS
WORK PROCESSES
TERRITORIES
DAY PLANS
ROUTE PLANS
KNOWLEDGE BASE
SETTINGS
DASHBOARD
REPORTS STUDIO
APPROVALS
INTEGRATOR
ANALYTICS CONNECTOR
WEB LITE
EFF...","OVERVIEW
ONBOARDING
EMPLOYEES
CUSTOMERS
ENTITIES
LISTS
FORMS
WORK PROCESSES
TERRITORIES
DAY PLANS
ROUTE PLANS
KNOWLEDGE BASE
SETTINGS
DASHBOARD
REPORTS STUDIO
APPROVALS
INTEGRATOR
ANALYTICS CONNECTOR
WEB LITE
EFFORT NXT GIG USER APP
EFFORT NXT HOTEL APP
TARGET VS ACHIEVEMENTS
HomeDashboardConceptsOverview
Dashboard
Concepts
Overview
Mobile Sign-Ins
Customer Check-Ins
Form Submissions
Employee Locations
Employees Not Checked-In To Customer
Heat Map
Sample Work Process
Customers
Work Process Invitations
Pending Approvals
Employees With or Without A Day Plan For Today
Employees With or Without A Route Plan For Today
Unassigned Works
Recent Form Submissions
Customers v2
New Employee Activation
Customer Activity Dashboard
Recent Form Submissions v2
Sample Work Processes v2
Sample Custom Entity Card
How-Tos
References
Overview
The Dashboard is a go-to resource for visually tracking and analyzing key metrics regarding mobile sign-ins, customer check-ins, form submissions, work progress, etc. It's the first screen you see upon login to the Web App featuring a set of cards that you can arrange according to what data is most important to you. The dashboard consists of many cards that can be selected, configured, and positioned to meet your needs. Effort dashboard provides many preconfigured cards in addition to a number of configurable cards that you can customize to visualize the metrics.
You can make different dashboards for specific people, roles, and teams, so everyone can focus on what's important to them. The below are the default cards that you can see on the dashboard.
Mobile Sign-Ins
Customer Check-Ins
Form Submissions
Employee Locations
Employees Not Checked-In To Customer
Heat Map
Work Processes
The below are the cards that you need to enable if needed.
Customers
Work Process Invitations
Pending Approvals
Day Plans
Route Plans
Unassigned Work Process
Recent Forms Submissions Graph
Customers v2
New Employee Activation
Customer Activity Dashboard
Recent Forms Submissions v2
Work Processes v2
Customer Entity Cards
Related information
Enable or Disable Dashboard Cards
Privacy Policy Terms of Use

Copyright © 2025 Spoors Technology Solutions India Pvt.Ltd. All Rights Reserved.",https://geteffort.com/manual/Dashboard/Concepts/Overview.html
Reference Manual,"OVERVIEW
ONBOARDING
EMPLOYEES
CUSTOMERS
ENTITIES
LISTS
FORMS
WORK PROCESSES
TERRITORIES
DAY PLANS
ROUTE PLANS
KNOWLEDGE BASE
SETTINGS
DASHBOARD
REPORTS STUDIO
APPROVALS
INTEGRATOR
ANALYTICS CONNECTOR
WEB LITE
EFF...","OVERVIEW
ONBOARDING
EMPLOYEES
CUSTOMERS
ENTITIES
LISTS
FORMS
WORK PROCESSES
TERRITORIES
DAY PLANS
ROUTE PLANS
KNOWLEDGE BASE
SETTINGS
DASHBOARD
REPORTS STUDIO
APPROVALS
INTEGRATOR
ANALYTICS CONNECTOR
WEB LITE
EFFORT NXT GIG USER APP
EFFORT NXT HOTEL APP
TARGET VS ACHIEVEMENTS
Overview
Onboarding
Employees
Customers
Entities
Lists
Forms
Work Processes
Territories
Day Plans
Route Plans
Knowledge Base
Settings
Dashboard
Reports Studio
Approvals
Integrator
Analytics Connector
Web Lite
Effort NXT Gig User App
Effort NXT Hotel App
Target VS Achievements
Privacy Policy Terms of Use

Copyright © 2025 Spoors Technology Solutions India Pvt.Ltd. All Rights Reserved.",https://geteffort.com/manual/index.html
Lists,"OVERVIEW
ONBOARDING
EMPLOYEES
CUSTOMERS
ENTITIES
LISTS
FORMS
WORK PROCESSES
TERRITORIES
DAY PLANS
ROUTE PLANS
KNOWLEDGE BASE
SETTINGS
DASHBOARD
REPORTS STUDIO
APPROVALS
INTEGRATOR
ANALYTICS CONNECTOR
WEB LITE
EFF...","OVERVIEW
ONBOARDING
EMPLOYEES
CUSTOMERS
ENTITIES
LISTS
FORMS
WORK PROCESSES
TERRITORIES
DAY PLANS
ROUTE PLANS
KNOWLEDGE BASE
SETTINGS
DASHBOARD
REPORTS STUDIO
APPROVALS
INTEGRATOR
ANALYTICS CONNECTOR
WEB LITE
EFFORT NXT GIG USER APP
EFFORT NXT HOTEL APP
TARGET VS ACHIEVEMENTS
HomeListsConceptsLists
Lists
Concepts
Lists
List Actions
Masters
Actions
Hide List Fields in List Picker (Web App)
Filter Functions
List in List
How-Tos
Reference
Lists
A list is a definition of data that is relatively permanent. The definition consists of data attributes that identify a collection of items, e.g., a list of Products defined by Product Name, Price.
List items are the individual instances of list.
Note: Even though lists are commonly referred to as masters and both the terms are interchangeable, in this document, the pre-defined lists bundled along with the product are referred to as masters, and the user-defined list templates are simply referred to as lists.
Privacy Policy Terms of Use

Copyright © 2025 Spoors Technology Solutions India Pvt.Ltd. All Rights Reserved.",https://geteffort.com/manual/lists/Concepts/lists.html
Understanding Entities,"OVERVIEW
ONBOARDING
EMPLOYEES
CUSTOMERS
ENTITIES
LISTS
FORMS
WORK PROCESSES
TERRITORIES
DAY PLANS
ROUTE PLANS
KNOWLEDGE BASE
SETTINGS
DASHBOARD
REPORTS STUDIO
APPROVALS
INTEGRATOR
ANALYTICS CONNECTOR
WEB LITE
EFF...","OVERVIEW
ONBOARDING
EMPLOYEES
CUSTOMERS
ENTITIES
LISTS
FORMS
WORK PROCESSES
TERRITORIES
DAY PLANS
ROUTE PLANS
KNOWLEDGE BASE
SETTINGS
DASHBOARD
REPORTS STUDIO
APPROVALS
INTEGRATOR
ANALYTICS CONNECTOR
WEB LITE
EFFORT NXT GIG USER APP
EFFORT NXT HOTEL APP
TARGET VS ACHIEVEMENTS
HomeEntitiesApp BuilderUnderstanding Entities
Entities
App Builder
Understanding Entities
Create Entity
Manage Entities
Manage Form Activities
Manage Process Activities
Delete Entities using Excel File
Bulk Delete Entities
Web App
Mobile App
Understanding Entities
Overview
Managing data is essential for business operations. This includes not only employee and customer information, but also details about other individuals and organizations businesses interact with, such as suppliers, dealers, and vendors. Effective data management ensures smooth operations and accurate tracking of critical information. To support these data needs, Effort provides the Entities module — a flexible tool for creating and managing structured data categories that align with your business requirements.
Entities are customizable data models that help you capture and store critical information for various purposes. For example, you can use them to track dealers, manage assets, monitor store performance, or organize supplier details. These entities act as master data, meaning they can be referenced and reused across the platform in forms and workflows.
Effort offers a drag-and-drop interface and over 50 data types to help you create entities that fit your needs. You can also:
Enable check-in/check-out functionality with location restrictions.
Perform form and process activities.
Integrate with third-party systems to post or retrieve data.
For example, you can create a Supplier entity with fields such as name, contact details, product offerings, and payment terms. Similarly, an Asset entity might include attributes like serial numbers, locations, and maintenance schedules, while a Store entity could track inventory, address details, and manager information.
Privacy Policy Terms of Use

Copyright © 2025 Spoors Technology Solutions India Pvt.Ltd. All Rights Reserved.",https://geteffort.com/manual/CustomEntities/Overview.html
Reference Manual,"OVERVIEW
ONBOARDING
EMPLOYEES
CUSTOMERS
ENTITIES
LISTS
FORMS
WORK PROCESSES
TERRITORIES
DAY PLANS
ROUTE PLANS
KNOWLEDGE BASE
SETTINGS
DASHBOARD
REPORTS STUDIO
APPROVALS
INTEGRATOR
ANALYTICS CONNECTOR
WEB LITE
EFF...","OVERVIEW
ONBOARDING
EMPLOYEES
CUSTOMERS
ENTITIES
LISTS
FORMS
WORK PROCESSES
TERRITORIES
DAY PLANS
ROUTE PLANS
KNOWLEDGE BASE
SETTINGS
DASHBOARD
REPORTS STUDIO
APPROVALS
INTEGRATOR
ANALYTICS CONNECTOR
WEB LITE
EFFORT NXT GIG USER APP
EFFORT NXT HOTEL APP
TARGET VS ACHIEVEMENTS
Overview
Onboarding
Employees
Customers
Entities
Lists
Forms
Work Processes
Territories
Day Plans
Route Plans
Knowledge Base
Settings
Dashboard
Reports Studio
Approvals
Integrator
Analytics Connector
Web Lite
Effort NXT Gig User App
Effort NXT Hotel App
Target VS Achievements
Privacy Policy Terms of Use

Copyright © 2025 Spoors Technology Solutions India Pvt.Ltd. All Rights Reserved.",https://geteffort.com/manual/#content
Forms,"OVERVIEW
ONBOARDING
EMPLOYEES
CUSTOMERS
ENTITIES
LISTS
FORMS
WORK PROCESSES
TERRITORIES
DAY PLANS
ROUTE PLANS
KNOWLEDGE BASE
SETTINGS
DASHBOARD
REPORTS STUDIO
APPROVALS
INTEGRATOR
ANALYTICS CONNECTOR
WEB LITE
EFF...","OVERVIEW
ONBOARDING
EMPLOYEES
CUSTOMERS
ENTITIES
LISTS
FORMS
WORK PROCESSES
TERRITORIES
DAY PLANS
ROUTE PLANS
KNOWLEDGE BASE
SETTINGS
DASHBOARD
REPORTS STUDIO
APPROVALS
INTEGRATOR
ANALYTICS CONNECTOR
WEB LITE
EFFORT NXT GIG USER APP
EFFORT NXT HOTEL APP
TARGET VS ACHIEVEMENTS
HomeFormsConceptsForms
Forms
Concepts
Forms
Form Metrics Dashboard
Components of Form Builder
Pages
Form Actions
Form Submissions
Modify Form Design
Form Creation through OCR
Restrict Form Access to Employee Groups
Manage Referenced Lists
Define Follow Ups Using Works
Assign Approval Flow
Setup Payment Option
Design Print Template For Web App
Design Print Template For Mobile App
Configure Remote Fields
Withdraw Form
Customer Master Management Flow
Entity Management Flow
Work Management Flow
Manage List Item Updates
Configure Save Options
Promotion and Discounts
Help Document Upload
Data Clean Up in Mobile
Email Groups
TAT (Turnaround Time) Calculation
Forms Marketplace
Publish Templates in Marketplace
How-Tos
Reference
Forms
A form is a template used by applications to collect, work and act on data. They’re typically created to obtain a particular set of information a business needs from its audience members. The form can be used to serve any purpose like conducting surveys, collecting feedback, booking orders, capturing sign-in and sign-out information, collecting customer information, etc. Forms reduce paperwork, minimize the time spent in processing, and enable faster transmission of data.
The Effort form builder is bundled with 47+ data types to capture the information you need. You can define validations, conditions, and restrictions to customize the form fields to fulfill the various business needs. The publishing options simplify the data capturing process and allow you to capture information from both internal and external users. Also, you can make the form as an activity, assign approval flows, manage customers, lists, works, etc. Here are some configurations that you can define for a form template:
Make a field appear based on the value of another field
Add extra pages to the form
Enable approval workflow for the form
Restrict form availability to certain employee groups
Send an email notification to administrators whenever a form is submitted
Validate fields using a number of different criteria
Define Form Rules to create dynamic form behavior (for example, show or hide a field based on input in another field)
Drag and drop fields onto the fields canvas
Clone a form from the Forms Marketplace instead of starting a similar form from scratch
Various reports can be generated based on the data collected through forms. These reports help organizations to make informed decisions and analysis.
When creating a new form, you can choose to either start with a blank form or use one of our existing templates from the marketplace and customize it.
Related information
Components of Form Builder
Privacy Policy Terms of Use

Copyright © 2025 Spoors Technology Solutions India Pvt.Ltd. All Rights Reserved.",https://geteffort.com/manual/forms/Concepts/forms.html
